scientific-name,family-name,abundance
Cystopteris filix-fragilis,Polypodiacées,C
Dryopteris aculeata,Polypodiacées,R
Dryopteris villarsii,Polypodiacées,AR
Asplenium petrarchae,Polypodiacées,R
Asplenium obovatum,Polypodiacées,AR
Athyrium filix-femina,Polypodiacées,AR
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Notholaena marantae,Polypodiacées,RRR
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Pteris longifolia,Polypodiacées,R
Polypodium vulgare,Polypodiacées,CC
Marsilea diffusa,Marsileacées,RRR
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes duriaei,Isoetacées,R
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Callitris articulata,Cupressacées,CC
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Ephedra major,Ephedracées,AC
Typha latifolia ssp. eulatifolia,Typhacées,AR
Typha angustifolia ssp. australis,Typhacées,CC
Potamogeton lucens var. lancifolius,Potamogetonacées,R
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton pectinatus,Potamogetonacées,AC
Potamogeton trichoides var. tuberculosu,Potamogetonacées,AR
Potamogeton pusillus,Potamogetonacées,C
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Althenia filiformis ssp. eu-filiformis,Zannichelliacées,R
Najas marina,Najadacées,R
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Butomus umbellatus,Butomacées,RR
Saccharum ravenae,Graminées,AC
Hemarthria compressa ssp. altissima,Graminées,R
Sorghum halepense,Graminées,C
Hyparrhenia hirta,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria lutescens,Graminées,AR
Setaria viridis,Graminées,C
Phalaris arundinacea,Graminées,RR
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Stipa fontanesii,Graminées,AC
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Milium vernale ssp. montianum,Graminées,C
Crypsis aculeata,Graminées,AC
Crypsis schoenoides,Graminées,C
Alopecurus geniculatus ssp. fulvus,Graminées,C
Alopecurus pratensis ssp. brachystachys,Graminées,R
Phleum pratense ssp. nodosum,Graminées,AC
Agrostis salmantica,Graminées,C
Agrostis reuteri,Graminées,C
Agrostis semiverticillata,Graminées,C
Agrostis stolonifera ssp. scabriglumis,Graminées,AC
Gastridium scabrum,Graminées,CC
Gastridium ventricosnm,Graminées,AC
Lagurus ovatus,Graminées,CC
Eragrostis cilianensis ssp. major,Graminées,C
Cynodon dactylon,Graminées,C
Arundo plinii,Graminées,AC
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Ampelodesma mauritanicum,Graminées,CC
Holcus lanatus,Graminées,C
Corynephorus articulatus ssp. fasciculatus,Graminées,AR
Corynephorus articulatus ssp. eu-articulatus,Graminées,AC
Trisetaria flavescens ssp. pratensis,Graminées,AC
Avena clauda,Graminées,AC
Avena pilosa,Graminées,R
Avena alba,Graminées,CC
Avena sterilis ssp. macrocarpa,Graminées,CC
Avena bromoides ssp. ludoviciana,Graminées,CC
Arrhenatherum elatius ssp. erianthum,Graminées,AC
Arrhenatherum elatius ssp. eu-elatius,Graminées,RR
Gaudinia fragilis ssp. eu-fragilis,Graminées,AC
Koeleria vallesiana,Graminées,AC
Koeleria splendens ssp. caudata,Graminées,AR
Koeleria phleoides,Graminées,CCC
Avellinia michelii,Graminées,C
Aira elegans,Graminées,RR
Aira tenorii,Graminées,C
Aira caryophyllea ssp. eu-caryophyllea,Graminées,R
Aira caryophyllea ssp. multiculmis,Graminées,RR
Aira cupaniana var. genuina,Graminées,C
Aira cupaniana var. divaricata,Graminées,C
Periballia minuta,Graminées,C
Echinaria capitata,Graminées,C
Melica minuta ssp. eu-minuta,Graminées,C
Melica minuta ssp. major,Graminées,C
Melica ciliata,Graminées,C
Melica cupani,Graminées,AC
Molinia caerulea,Graminées,R
Cutandia maritima,Graminées,AC
Scleropoa rigida,Graminées,CC
Cynosurus baiansae,Graminées,AC
Cynosurus polybracteatus,Graminées,C
Cynosurus elegans ssp. aurasiacus,Graminées,C
Cynosurus elegans ssp. obliquatus,Graminées,C
Cynosurus echinatus,Graminées,C
Lamarckia aurea,Graminées,CC
Dactylis glomerata,Graminées,C
AEluropus iittoraiis,Graminées,C
Poa trivialis,Graminées,C
Poa bulbosa ssp. eu-bulbosa,Graminées,C
Poa annua ssp exilis,Graminées,C
Poa annua ssp. typica,Graminées,C
Poa ligulata var. djurdjurae,Graminées,R
Poa alpina ssp. eu-alpina var. typica,Graminées,R
Briza maxima,Graminées,C
Briza minor,Graminées,C
Glyceria fluitans ssp. plicata,Graminées,RR
Puccinellia distans ssp. eu-distans,Graminées,C
Festuca caerulescens,Graminées,CC
Festuca paniculata ssp. durandoi,Graminées,AR
Festuca triflora,Graminées,AC
Festuca atlantica var. eu-atlantica,Graminées,AC
Festuca ovina ssp. laevis,Graminées,R
Vulpia sicula var. setacca,Graminées,C
Vulpia ciliata,Graminées,C
Vulpia geniculata,Graminées,C
Vulpia myuros ssp. pseudo-myuros,Graminées,C
Vulpia myuros ssp. sciuroides,Graminées,C
Vulpia ligustica,Graminées,C
Catapodium tenellum,Graminées,RR
Nardurus maritimus,Graminées,AR
Bromus ramosus ssp. benekeni,Graminées,AR
Bromus erectus,Graminées,AC
Bromus sterilis,Graminées,AC
Bromus rigidus ssp. maximus,Graminées,CC
Bromus rigidus ssp. gussonii,Graminées,C
Bromus tectorum,Graminées,C
Bromus madritensis ssp. eu-madritensis,Graminées,CC
Bromus rubens ssp. eu-rubens,Graminées,AC
Bromus hordaceus ssp. mollis,Graminées,C
Bromus squarrosus,Graminées,
Bromus intermedius,Graminées,AC
Bromus alopecuros,Graminées,AC
Bromus alopecuros,Graminées,CC
Brachypodium distachyum,Graminées,CC
Brachypodium sylvaticum,Graminées,C
Brachypodium phoenicoides,Graminées,C
Lolium perenne,Graminées,C
Lolium rigidum,Graminées,C
Lolium multiflorum ssp. italicum,Graminées,AC
Lolium multiflorum ssp. gaudini,Graminées,CC
Lolium temulentum,Graminées,AC
Lepturus cylindricus,Graminées,C
Pholiurus incurvus ssp. filiformis,Graminées,AC
Agropyron orientale ssp. distans,Graminées,AC
Agropyron pallormitanum var. hispanicum,Graminées,R
Agropyron repens,Graminées,AC
Dasypyrum hordeaceum,Graminées,AC
Aegilops ventricosa,Graminées,C
Aegilops triuncialis ssp. eu-triuncialis,Graminées,C
Aegilops triuncialis ssp. triaristata,Graminées,C
Aegilops triuncialis ssp. atlantica,Graminées,AR
Aegilops triuncialis ssp. eu-ovata,Graminées,C
Hordeum bulbosum,Graminées,AC
Hordeum maritimum ssp. eu-maritimum,Graminées,CC
Hordeum maritimum ssp. gussoncanum var. annuum,Graminées,R
Hordeum murinum ssp. leporinum,Graminées,CC
Cyperus miehelianus ssp. pygmaeus,Cyperacées,R
Cyperus fuscus,Cyperacées,C
Cyperus flaveseens,Cyperacées,R
Cyperus laevigatus ssp. distachyos,Cyperacées,AC
Cyperus globosus,Cyperacées,RR
Cyperus rotundus ssp. eu-rotundus,Cyperacées,C
Cyperus longus ssp. badius,Cyperacées,C
Scirpus holoschoenus,Cyperacées,CC
Scirpus cernuus,Cyperacées,CC
Scirpus maritimus,Cyperacées,CC
Scirpus lacustris ssp. glaucus,Cyperacées,CC
Scirpus iittoralis,Cyperacées,AC
Schoenus nigricans,Cyperacées,AC
Carex distachya,Cyperacées,C
Carex divisa,Cyperacées,C
Carex vulpina ssp. nemorosa,Cyperacées,AR
Carex muricata ssp. divulsa,Cyperacées,C
Carex hispida,Cyperacées,C
Carex flacca,Cyperacées,AC
Carex halleriana,Cyperacées,C
