scientific-name,family-name,abundance
Asplenium ceterach,Polypodiacées,C
Asplenium trichomanes,Polypodiacées,C
Asplenium adiantum-nigrum,Polypodiacées,C
Adiantum capillus-veneris,Polypodiacées,AC
Juniperus phoenica,Cupressacées,C
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Typha angustifolia ssp.australis,Typhacées,CC
Potamogeton crispus,Potamogetonacées,R
Ruppia maritima ssp.rostellata,Ruppiacées,AC
Ruppia maritima ssp.drepanensis,Ruppiacées,AC
Zannichellia palustris ssp.genuina,Zannichelliacées,AC
Hyparrhenia hirta,Graminées,CC
Heteropogon contortus var.glaber,Graminées,RR
Digitaria sanguinalis,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Setaria verticillata ssp.verticillata,Graminées,C
Pennisetum setaceum ssp.orientale,Graminées,AC
Cenchrus ciliaris,Graminées,AR
Lygeum spartum,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Aristida caerulescens,Graminées,CC
Aristida ciiiata,Graminées,AC
Aristida sahelica,Graminées,AC
Aristida plumosa ssp.eu-plumosa,Graminées,CC
Aristida plumosa ssp.lanuginosa,Graminées,AR
Stipa retorta,Graminées,C
Stipa tenacissima,Graminées,CC
Stipa barbata,Graminées,C
Stipa fontanesii,Graminées,AC
Stipa lagascae ssp.normalis,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Milium vernale ssp.montianum,Graminées,C
Alopecurus pratensis ssp.brachystachys,Graminées,R
Phleum subulatum,Graminées,C
Phleum pratense ssp.nodosum,Graminées,AC
Lagurus ovatus,Graminées,CC
Eragrostis cilianensis ssp.major,Graminées,C
Cynodon dactylon,Graminées,C
Phragmites communis,Graminées,C
Avena bromoides ssp.bromoides,Graminées,AC
Avena pilosa,Graminées,R
Avena alba,Graminées,CC
Avena fatua,Graminées,AC
Avena sterilis ssp.macrocarpa,Graminées,CC
Avena sterilis ssp.ludoviciana,Graminées,CC
Gaudinia fragilis ssp.eu-fragilis,Graminées,AC
Koeleria vallesiana,Graminées,AC
Koeleria phleoides,Graminées,CCC
Ammochloa palaestina,Graminées,AR
Echinaria capitata,Graminées,C
Cutandia divaricata,Graminées,C
Cutandia dichotoma var.dichotoma,Graminées,C
Cutandia dichotoma var.memphitica,Graminées,C
Vulpiella stipoides,Graminées,C
Cynosurus elegans ssp.aurasiacus,Graminées,C
Cynosurus elegans ssp.obliquatus,Graminées,C
Dactylis glomerata,Graminées,C
AEluropus iittoraiis,Graminées,C
Wangenheimia lima,Graminées,AC
Poa annua ssp.typica,Graminées,C
Puccinellia distans ssp.eu-distans,Graminées,C
Festuca ovina ssp.indigesta,Graminées,RR
Catapodium tuberculosum,Graminées,AC
Nardurus cynosuroides,Graminées,AC
Nardurus maritimus,Graminées,AR
Bromus erectus,Graminées,AC
Bromus sterilis,Graminées,AC
Bromus tectorum,Graminées,C
Bromus rubens ssp.eu-rubens,Graminées,AC
Bromus squarrosus,Graminées,
Brachypodium distachyum,Graminées,CC
Brachypodium phoenicoides,Graminées,C
Lolium perenne,Graminées,C
Lolium rigidum,Graminées,C
Lolium multiflorum ssp.gaudini,Graminées,CC
Agropyron orientale ssp.eu-orientale,Graminées,AC
Dasypyrum hordeaceum,Graminées,AC
Aegilops peregrina,Graminées,RR
Hordeum nodosum,Graminées,R
Hordeum murinum ssp.eu-murinum,Graminées,AR
Hordeum murinum ssp.leporinum,Graminées,CC
Cyperus laevigatus ssp.distachyos,Cyperacées,AC
Cyperus rotundus ssp.eu-rotundus,Cyperacées,C
Scirpus holoschoenus,Cyperacées,CC
Scirpus maritimus,Cyperacées,CC
Schoenus nigricans,Cyperacées,AC
Carex divisa,Cyperacées,C
Carex hispida,Cyperacées,C
Carex flacca,Cyperacées,AC
Carex halleriana,Cyperacées,C
Carex pendula,Cyperacées,AC
Phoenix dactylifera,Palmées,C
Juncus maritimus,Juncacées,CC
Juncus bufonius ssp.eu-bufonius,Juncacées,AC
Asphodelus microcarpus,Liliacées,CC
Asphodelus fistulosus,Liliacées,AR
Asphodelus tenuifolius,Liliacées,C
Anthericum liliago ssp.algeriense,Liliacées,AC
Fritillaria messanensis var.glauca,Liliacées,R
Tulipa sylvestris ssp.cuspidata,Liliacées,R
Tulipa sylvestris ssp.australis,Liliacées,CC
Gagea reticulata ssp.eu-reticulata var.africa,Liliacées,AR
Gagea granatelli ssp.eu-granatelli,Liliacées,C
Gagea foliosa ssp.eu-foliosa,Liliacées,AC
Scilla peruviana,Liliacées,C
Urginea noctiftora ssp.heliophylla,Liliacées,AC
Urginea fugax,Liliacées,C
Dipcadi serotinum ssp.lividum,Liliacées,C
Ornithogalum umbellatum ssp.orthophyllum,Liliacées,C
Ornithogalum pyramidale ssp.narbonense,Liliacées,AC
Muscari comosum,Liliacées,AC
Muscari maritimum,Liliacées,AC
Ruscus aculeatus,Liliacées,C
Asparagus stipularis var.horridus,Liliacées,AC
Smilax aspera var.altissima,Liliacées,CC
Allium cupani,Liliacées,C
Allium flavum ssp.ionochlorum,Liliacées,AC
Allium paniculatum var.typicum,Liliacées,C
Allium sphaerocephalum,Liliacées,AC
Allium ampeloprasum ssp.eu-empeloprasum,Liliacées,AC
Gladiolus byzantinus,Iridacées,C
Iris sisyrinchium,Iridacées,C
Iris xiphium,Iridacées,C
Romulea bulbocodiuni ssp.eu-bulbocodium,Iridacées,C
Ophrys lutea,Orchidacées,C
Orchis laxiflora,Orchidacées,
Serapias anthropophorum,Orchidacées,C
Populus euphratica var.mauritanîca,Salicacées,RR
Populus alba,Salicacées,CC
Salix purpurea,Salicacées,AC
Salix pedicellata,Salicacées,CC
Rumex tingitanus,Polygonacées,AC
Rumex bucephalophorus ssp.gallicus,Polygonacées,C
Rumex vesicarius,Polygonacées,RR
Rumex conglomeratus,Polygonacées,CC
Forskohlea tenacissima,Urticacées,RR
Parietaria lusitanica,Urticacées,R
Arceuthobium oxycedri,Loranthacées,AR
Atriplex halimus,Chenopodiacées,C
Chenopodium foliosum,Chenopodiacées,AC
Chenopodium murale,Chenopodiacées,C
Arthrocnemum indicumm,Chenopodiacées,C
Salicornia arabica var.typica,Chenopodiacées,CC
Anabasis oropediorum,Chenopodiacées,AC
Noaea mucronata,Chenopodiacées,AC
Polycnemum fontanesii,Chenopodiacées,R
