scientific-name,family-name,abundance
Cystopteris filix-fragilis,Polypodiacées,C
Asplenium petrarchae,Polypodiacées,R
Asplenium obovatum,Polypodiacées,AR
Phyllitis scolopendrium,Polypodiacées,AC
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Polypodium vulgare,Polypodiacées,CC
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Cedrus libanotica ssp. atlantica,Pinacées,AC
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Ephedra major,Ephedracées,AC
Typha angustifolia ssp. australis,Typhacées,CC
Sparganium erectum ssp. neglectum,Sparganiacées,AC
Potamogeton densus,Potamogetonacées,AC
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton pectinatus,Potamogetonacées,AC
Potamogeton pusillus,Potamogetonacées,C
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Vallisneria spiralis,Hydrocharidacées,RR
Sorghum halepense,Graminées,C
Hyparrhenia hirta,Graminées,CC
Themeda triandra,Graminées,R
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria lutescens,Graminées,AR
Setaria viridis,Graminées,C
Tragus racemosus,Graminées,AR
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Aristida sahelica,Graminées,AC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Oryzopsis paradoxa var. eriolemma,Graminées,C
Crypsis schoenoides,Graminées,C
Alopecurus pratensis ssp. brachystachys,Graminées,R
Phleum pratense ssp. nodosum,Graminées,AC
Mibora minima,Graminées,RR
Agrostis elegans,Graminées,R
Agrostis salmantica,Graminées,C
Agrostis reuteri,Graminées,C
Agrostis semiverticillata,Graminées,C
Agrostis stolonifera ssp. castellana,Graminées,R
Gastridium scabrum,Graminées,CC
Gastridium ventricosnm,Graminées,AC
Polypogon maritimum ssp. subspathaceus,Graminées,R
Lagurus ovatus,Graminées,CC
Eragrostis cilianensis ssp. major,Graminées,C
Cynodon dactylon,Graminées,C
Arundo plinii,Graminées,AC
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Ampelodesma mauritanicum,Graminées,CC
Holcus lanatus,Graminées,C
Corynephorus articulatus ssp. eu-articulatus,Graminées,AC
Ventenata dubia,Graminées,RR
Trisetaria flavescens ssp. pratensis,Graminées,AC
Avena macrostachya,Graminées,AR
Avena clauda,Graminées,AC
Avena pilosa,Graminées,R
Avena alba,Graminées,CC
Avena sterilis ssp. macrocarpa,Graminées,CC
Avena sterilis ssp. ludoviciana,Graminées,CC
Arrhenatherum elatius ssp. erianthum,Graminées,AC
Gaudinia fragilis ssp. eu-fragilis,Graminées,AC
Koeleria vallesiana,Graminées,AC
Koeleria splendens ssp. eu-splendens,Graminées,RR
Koeleria splendens ssp. caudata,Graminées,AR
Koeleria phleoides,Graminées,CCC
Avellinia michelii,Graminées,C
Aira tenorii,Graminées,C
Aira cupaniana var. genuina,Graminées,C
Aira cupaniana var. divaricata,Graminées,C
Periballia minuta,Graminées,C
Echinaria capitata,Graminées,C
Melica minuta ssp. eu-minuta,Graminées,C
Melica minuta ssp. major,Graminées,C
Melica ciliata,Graminées,C
Melica cupani,Graminées,AC
Catabrosa aquatica,Graminées,RR
Scleropoa rigida,Graminées,CC
Cynosurus polybracteatus,Graminées,C
Cynosurus elegans ssp. aurasiacus,Graminées,C
Cynosurus elegans ssp. obliquatus,Graminées,C
Cynosurus echinatus,Graminées,C
Lamarckia aurea,Graminées,CC
Dactylis glomerata,Graminées,C
AEluropus iittoraiis,Graminées,C
Sclerochloa dura,Graminées,C
Poa trivialis,Graminées,C
Poa bulbosa ssp. eu-bulbosa,Graminées,C
Poa annua ssp exilis,Graminées,C
Poa annua ssp. typica,Graminées,C
Briza maxima,Graminées,C
Briza minor,Graminées,C
Glyceria fluitans ssp. plicata,Graminées,RR
Puccinellia distans ssp. eu-distans,Graminées,C
Festuca caerulescens,Graminées,CC
Festuca paniculata ssp. durandoi,Graminées,AR
Festuca triflora,Graminées,AC
Festuca atlantica var. eu-atlantica,Graminées,AC
Festuca algeriensis,Graminées,R
Festuca ovina ssp. laevis,Graminées,R
Festuca ovina ssp. sulcata,Graminées,AR
Vulpia sicula var. typica,Graminées,C
Vulpia sicula var. setacca,Graminées,C
Vulpia ciliata,Graminées,C
Vulpia geniculata,Graminées,C
Vulpia myuros ssp. pseudo-myuros,Graminées,C
Vulpia myuros ssp. sciuroides,Graminées,C
Vulpia ligustica,Graminées,C
Nardurus maritimus,Graminées,AR
Bromus erectus,Graminées,AC
Bromus rigidus ssp. maximus,Graminées,CC
Bromus rigidus ssp. gussonii,Graminées,C
Bromus tectorum,Graminées,C
Bromus madritensis ssp. eu-madritensis,Graminées,CC
Bromus rubens ssp. eu-rubens,Graminées,AC
Bromus racemosus,Graminées,RR
Bromus hordaceus ssp. mollis,Graminées,C
Bromus squarrosus,Graminées,
Bromus intermedius,Graminées,AC
Bromus alopecuros,Graminées,AC
Bromus alopecuros,Graminées,CC
Brachypodium distachyum,Graminées,CC
Brachypodium sylvaticum,Graminées,C
Brachypodium pinnatum,Graminées,C
Brachypodium phoenicoides,Graminées,C
Lolium perenne,Graminées,C
Lolium rigidum,Graminées,C
Lolium multiflorum ssp. italicum,Graminées,AC
Lolium multiflorum ssp. gaudini,Graminées,CC
Lolium temulentum,Graminées,AC
Lepturus cylindricus,Graminées,C
Pholiurus incurvus ssp. filiformis,Graminées,AC
Agropyron pallormitanum var. hispanicum,Graminées,R
Agropyron repens,Graminées,AC
Dasypyrum hordeaceum,Graminées,AC
Aegilops ventricosa,Graminées,C
Aegilops triuncialis ssp. eu-triuncialis,Graminées,C
Aegilops triuncialis ssp. triaristata,Graminées,C
Aegilops triuncialis ssp. eu-ovata,Graminées,C
Hordeum bulbosum,Graminées,AC
Hordeum maritimum ssp. eu-maritimum,Graminées,CC
Hordeum maritimum ssp. gussoncanum var. annuum,Graminées,R
Hordeum murinum ssp. leporinum,Graminées,CC
Cyperus fuscus,Cyperacées,C
Cyperus laevigatus ssp. distachyos,Cyperacées,AC
Cyperus rotundus ssp. eu-rotundus,Cyperacées,C
Cyperus longus ssp. badius,Cyperacées,C
Scirpus holoschoenus,Cyperacées,CC
Scirpus cernuus,Cyperacées,CC
Scirpus maritimus,Cyperacées,CC
Scirpus lacustris ssp. eu-iacustris,Cyperacées,AC
Scirpus lacustris ssp. glaucus,Cyperacées,CC
Scirpus iittoralis,Cyperacées,AC
Schoenus nigricans,Cyperacées,AC
Carex distachya,Cyperacées,C
Carex divisa,Cyperacées,C
Carex vulpina ssp. nemorosa,Cyperacées,AR
Carex muricata ssp. divulsa,Cyperacées,C
Carex gradlis var. mucronata,Cyperacées,R
Carex hispida,Cyperacées,C
Carex flacca,Cyperacées,AC
Carex halleriana,Cyperacées,C
Carex pendula,Cyperacées,AC
Carex punctata,Cyperacées,AR
Carex distans ssp. eu-distans,Cyperacées,C
Phoenix dactylifera,Palmées,C
Chamaerops humilis,Palmées,CC
Arum italicum,Aracées,CC
Arisarum vulgare ssp. exsertum,Aracées,CC
Biarum bovei ssp. dispar,Aracées,CC
Lemna trisulca,Lemnacées,R
Lemna minor,Lemnacées,CC
Juncus acutus,Juncacées,CC
Juncus maritimus,Juncacées,CC
Juncus conglomeratus,Juncacées,C
Juncus effusus,Juncacées,C
Juncus capitatus,Juncacées,C
Juncus pygmaeus,Juncacées,C
Juncus fontanesii,Juncacées,C
Juncus valvatus,Juncacées,R
Juncus anceps,Juncacées,C
Juncus articulatus,Juncacées,C
Juncus tenageia ssp. eu-tenageia,Juncacées,AC
Juncus bufonius ssp. eu-bufonius,Juncacées,AC
Juncus bufonius ssp. foliosus,Juncacées,R
Juncus compressus ssp. gerardi,Juncacées,C
Luzula forsteri,Juncacées,AC
Luzula nodulosa,Juncacées,AC
Colchicum cupani,Liliacées,AC
Colchicum autumnale,Liliacées,C
Aphyllanthes monspeliensis,Liliacées,AC
Asphodelus microcarpus,Liliacées,CC
Asphodeline lutea,Liliacées,C
Simethis planifolia,Liliacées,AC
Anthericum liliago ssp. algeriense,Liliacées,AC
Fritillaria messanensis var. glauca,Liliacées,R
Tulipa sylvestris ssp. cuspidata,Liliacées,R
Tulipa sylvestris ssp. primulilla,Liliacées,R
Tulipa sylvestris ssp. australis,Liliacées,CC
Gagea granatelli ssp. eu-granatelli,Liliacées,C
Gagea foliosa ssp. eu-foliosa,Liliacées,AC
Scilla lingulata,Liliacées,C
Scilla autumnalis ssp. eu-autumnalis,Liliacées,C
Scilla autumnalis ssp. fallax,Liliacées,AC
Scilla obtusifolia,Liliacées,C
Scilla numidica,Liliacées,AC
Scilla peruviana,Liliacées,C
Urginea maritima var. pancration,Liliacées,C
Urginea maritima var. numidica,Liliacées,C
Urginea maritima var. spheroïdes,Liliacées,C
Urginea undulata ssp. typica,Liliacées,C
Ornithogalum arabicum,Liliacées,C
Ornithogalum umbellatum ssp. orthophyllum,Liliacées,C
Ornithogalum sessilifiorum,Liliacées,C
Ornithogalum pyramidale ssp. narbonense,Liliacées,AC
Ornithogalum comosum var. atlanticum,Liliacées,RR
Bellevallia mauritaniea var. mauritanica,Liliacées,C
Muscari comosum,Liliacées,AC
Muscari neglectum var. atlanticum,Liliacées,AC
Ruscus aculeatus,Liliacées,C
Ruscus hypophyllum,Liliacées,AC
Asparagus stipularis var. horridus,Liliacées,AC
Asparagus officinalis var. campestris,Liliacées,AR
Asparagus albus,Liliacées,C
Asparagus acutifolius,Liliacées,CC
Smilax aspera var. genuina,Liliacées,C
Smilax aspera var. altissima,Liliacées,CC
Allium triquetrum,Liliacées,C
Allium chamaemoly,Liliacées,C
Allium cupani,Liliacées,C
Allium subhirsutum ssp. album,Liliacées,C
Allium nigrum ssp. odoratissimum,Liliacées,C
Allium roseum ssp. eu-roseum,Liliacées,C
Allium flavum ssp. ionochlorum,Liliacées,AC
Allium paniculatum var. typicum,Liliacées,C
Allium paniculatum var. fuscum,Liliacées,AC
Allium margaritaceum,Liliacées,C
Allium vineale,Liliacées,R
Allium sphaerocephalum,Liliacées,AC
Leucojum autumnale var. pulchellum,Amaryllidacées,C
Narcissus elegans,Amaryllidacées,C
Narcissus serotinus,Amaryllidacées,C
Narcissus tazetta ssp. bertolonii,Amaryllidacées,C
Agave americana,Amaryllidacées,C
Tarnus communis,Dioscoreacées,C
Gladiolus segetum,Iridacées,C
Gladiolus byzantinus,Iridacées,C
Iris pseudoacorus,Iridacées,C
Iris foetidissima,Iridacées,C
Iris planifolia,Iridacées,AR
Iris unguicularis,Iridacées,C
Iris juncea,Iridacées,C
Iris sisyrinchium,Iridacées,C
Iris tingitana var. fontanesii,Iridacées,C
Iris xiphium,Iridacées,C
Romulea columnae var. typica,Iridacées,C
Romulea bulbocodiuni ssp. eu-bulbocodium,Iridacées,C
Ophrys speculum,Orchidacées,C
Ophrys apifera,Orchidacées,C
Ophrys scolopax,Orchidacées,C
Ophrys tenthredinifera var. genuina,Orchidacées,C
Ophrys bombyliflora,Orchidacées,C
Ophrys lutea,Orchidacées,C
Ophrys subfusea,Orchidacées,R
Ophrys fusca,Orchidacées,C
Ophrys atlantica ssp. durieui,Orchidacées,AR
Orchis elata ssp. munbyana,Orchidacées,C
Orchis papilionacea,Orchidacées,AR
Orchis longicornu,Orchidacées,C
Orchis coriophora ssp. martini,Orchidacées,C
Orchis coriophora ssp. fragrans,Orchidacées,C
Orchis tridentata ssp. lactea,Orchidacées,C
Orchis italica,Orchidacées,C
Orchis mascula ssp. eu-mascula,Orchidacées,C
Orchis mascula ssp. olbiensis,Orchidacées,C
Orchis laxiflora,Orchidacées,
Serapias cordigera,Orchidacées,C
Serapias lingua,Orchidacées,C
Serapias parviflora ssp. occultata,Orchidacées,C
Serapias anthropophorum,Orchidacées,C
Himanthoglossum hircinum,Orchidacées,AR
Himanthoglossum longibracteatum,Orchidacées,C
Anacamptis pyramidalis,Orchidacées,AR
Platanthera bifolia,Orchidacées,R
Neotinea intacta,Orchidacées,R
Epipactis helleborine var. platyphylla,Orchidacées,R
Cephalanthera longifolia,Orchidacées,AC
