scientific-name,family-name,abundance
Callitris articulata,Cupressacées,CC
Juniperus oxycedrus ssp. rufescens,Cupressacées,R
Juniperus phoenica,Cupressacées,C
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Ephedra major,Ephedracées,AC
Typha angustifolia ssp. australis,Typhacées,CC
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Damasonium polyspermum var. eu-polyspermum,Alismatacées,RR
Hyparrhenia hirta,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria lutescens,Graminées,AR
Lygeum spartum,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Aristida pungens,Graminées,AR
Aristida caerulescens,Graminées,CC
Aristida ciiiata,Graminées,AC
Aristida sahelica,Graminées,AC
Aristida plumosa ssp. eu-plumosa,Graminées,CC
Stipa retorta,Graminées,C
Stipa tenacissima,Graminées,CC
Stipa barbata,Graminées,C
Stipa fontanesii,Graminées,AC
Stipa lagascae ssp. normalis,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Alopecurus pratensis ssp. nigricans,Graminées,AR
Agrostis semiverticillata,Graminées,C
Lagurus ovatus,Graminées,CC
Eragrostis cilianensis ssp. major,Graminées,C
Cynodon dactylon,Graminées,C
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Corynephorus articulatus ssp. eu-articulatus,Graminées,AC
Trisetaria cavanillesii,Graminées,RR
Trisetaria pumila ssp. eu-pumila,Graminées,AC
Avena clauda,Graminées,AC
Avena longiglumis,Graminées,RR
Avena alba,Graminées,CC
Avena sterilis ssp. macrocarpa,Graminées,CC
Avena sterilis ssp. ludoviciana,Graminées,CC
Gaudinia fragilis ssp. eu-fragilis,Graminées,AC
Koeleria vallesiana,Graminées,AC
Koeleria pubescens ssp. salzmannii,Graminées,C
Koeleria phleoides,Graminées,CCC
Antinoria agrostidea var. algeriensis,Graminées,RR
Danthonia forskalii,Graminées,CC
Schismus barbatus ssp. calycinus,Graminées,C
Ammochloa palaestina,Graminées,AR
Echinaria capitata,Graminées,C
Vulpiella stipoides,Graminées,C
Scleropoa hemipoa,Graminées,AC
Cynosurus elegans ssp. aurasiacus,Graminées,C
Cynosurus elegans ssp. obliquatus,Graminées,C
Dactylis glomerata,Graminées,C
AEluropus iittoraiis,Graminées,C
Wangenheimia lima,Graminées,AC
Poa trivialis,Graminées,C
Poa annua ssp. typica,Graminées,C
Puccinellia distans ssp. eu-distans,Graminées,C
Puccinellia distans ssp. convoluta,Graminées,RR
Festuca deserti ssp. duriaei,Graminées,R
Vulpia sicula var. setacca,Graminées,C
Nardurus cynosuroides,Graminées,AC
Nardurus maritimus,Graminées,AR
Bromus erectus,Graminées,AC
Bromus rubens ssp. eu-rubens,Graminées,AC
Bromus hordaceus ssp. mollis,Graminées,C
Bromus squarrosus,Graminées,
Brachypodium distachyum,Graminées,CC
Lolium rigidum,Graminées,C
Lolium multiflorum ssp. gaudini,Graminées,CC
Agropyropsis lolium,Graminées,AC
Agropyron buonapartis,Graminées,R
Agropyron orientale ssp. eu-orientale,Graminées,AC
