scientific-name,family-name,abundance
Ophioglossum lusitanicum,Ophioglossacées,R
Osmunda regalis,Osmundacées,C
Cystopteris filix-fragilis,Polypodiacées,C
Dryopteris thelypteris,Polypodiacées,RR
Dryopteris gongyloides,Polypodiacées,RR
Dryopteris aculeata,Polypodiacées,R
Asplenium marinum,Polypodiacées,RR
Asplenium obovatum,Polypodiacées,AR
Woodwardia radicans,Polypodiacées,RR
Phyllitis hemionitis,Polypodiacées,AR
Athyrium filix-femina,Polypodiacées,AR
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Polypodium vulgare,Polypodiacées,CC
Marsilea diffusa,Marsileacées,RRR
Salvinia natans,Salviniacées,RR
Isoetes velata ssp. dubia,Isoetacées,RR
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Taxus baccata,Taxacées,AR
Juniperus oxycedrus ssp. macrocarpa,Cupressacées,C
Juniperus phoenica,Cupressacées,C
Pinus halepensis,Pinacées,CC
Pinus pinaster ssp. hamiltonii,Pinacées,AR
Ephedra altissima,Ephedracées,C
Typha latifolia ssp. eulatifolia,Typhacées,AR
Typha angustifolia ssp. australis,Typhacées,CC
Sparganium erectum ssp. polyedrum,Sparganiacées,RR
Sparganium erectum ssp. neglectum,Sparganiacées,AC
Posidonia oceanica,Posidoniacées,CC
Potamogeton crispus,Potamogetonacées,R
Potamogeton lucens var. lancifolius,Potamogetonacées,R
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton oblongus,Potamogetonacées,AR
Potamogeton pectinatus,Potamogetonacées,AC
Potamogeton trichoides var. tuberculosu,Potamogetonacées,AR
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
Cymodocea nodosa,Zannichelliacées,CC
Najas graminea,Najadacées,RR
Najas pectinata,Najadacées,RR
Najas minor,Najadacées,R
Najas marina,Najadacées,R
Triglochin laxiflora,Juncaginacées,C
Triglochin bulbosa,Juncaginacées,AC
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Butomus umbellatus,Butomacées,RR
Hydrocharis morsus-ranae,Hydrocharidacées,R
Vallisneria spiralis,Hydrocharidacées,RR
Saccharum spontaneum ssp. aegyptiacum,Graminées,RR
Hemarthria compressa ssp. altissima,Graminées,R
Sorghum halepense,Graminées,C
Bothriochloa ischaemum,Graminées,RR
Andropogon distachyus,Graminées,R
Hyparrhenia hirta,Graminées,CC
Heteropogon contortus var. glaber,Graminées,RR
Themeda triandra,Graminées,R
Digitaria debilis,Graminées,RR
Digitaria sanguinalis,Graminées,CC
Brachiaria mutica,Graminées,RR
Paspalidium obtusifolium,Graminées,RR
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria viridis,Graminées,C
Pennisetum setaceum ssp. asperifolium,Graminées,R
Leersia hexandra,Graminées,R
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. eu-odoratum,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Oryzopsis paradoxa var. eriolemma,Graminées,C
Crypsis aculeata,Graminées,AC
Crypsis schoenoides,Graminées,C
Crypsis alopecuroides,Graminées,AR
