scientific-name,family-name,abundance
Dryopteris aculeata,Polypodiacées,R
Asplenium petrarchae,Polypodiacées,R
Pleurosorus pozoi,Polypodiacées,RR
Phyllitis hemionitis,Polypodiacées,AR
Gymnogramma leptophylla,Polypodiacées,C
Notholaena vellea,Polypodiacées,AC
Cheilanthes hispanica,Polypodiacées,RR
Adiantum capillus-veneris,Polypodiacées,AC
Pteridium aquilinum,Polypodiacées,C
Polypodium vulgare,Polypodiacées,CC
Marsilea strigosa var. pubescens,Marsileacées,R
Isoetes velata ssp. typica,Isoetacées,AC
Isoetes hystrix,Isoetacées,AC
Selaginella denticulata,Selaginellacées,CC
Equisetum maximum,Equisetacées,AC
Callitris articulata,Cupressacées,CC
Pinus halepensis,Pinacées,CC
Ephedra altissima,Ephedracées,C
Typha latifolia ssp. eulatifolia,Typhacées,AR
Typha angustifolia ssp. australis,Typhacées,CC
Sparganium erectum ssp. neglectum,Sparganiacées,AC
Potamogeton densus,Potamogetonacées,AC
Potamogeton nodosus,Potamogetonacées,CC
Potamogeton pectinatus,Potamogetonacées,AC
Potamogeton pusillus,Potamogetonacées,C
Ruppia maritima ssp. rostellata,Ruppiacées,AC
Ruppia maritima ssp. drepanensis,Ruppiacées,AC
Zannichellia palustris ssp. genuina,Zannichelliacées,AC
AIisma plantago-aquatica,Alismatacées,CC
Echinodorus ranunculoides,Alismatacées,CC
Damasonium alisma ssp. bourgei,Alismatacées,AC
Sorghum halepense,Graminées,C
Hyparrhenia hirta,Graminées,CC
Echinochloa crus-galli,Graminées,C
Echinochloa colona,Graminées,C
Panicum repens,Graminées,C
Setaria verticillata ssp. verticillata,Graminées,C
Setaria viridis,Graminées,C
Lygeum spartum,Graminées,C
Phalaris truncata,Graminées,AC
Phalaris caerulescens,Graminées,C
Phalaris bulbosa,Graminées,C
Phalaris canariensis,Graminées,C
Phalaris brachystachys,Graminées,C
Phalaris minor,Graminées,C
Phalaris paradoxa,Graminées,C
Anthoxanthum odoratum ssp. ovatum,Graminées,C
Aristida caerulescens,Graminées,CC
Stipa retorta,Graminées,C
Stipa barbata,Graminées,C
Stipa fontanesii,Graminées,AC
Stipa lagascae ssp. normalis,Graminées,C
Oryzopsis miliacea,Graminées,C
Oryzopsis caerulescens,Graminées,C
Oryzopsis paradoxa var. eriolemma,Graminées,C
Milium vernale ssp. montianum,Graminées,C
Crypsis aculeata,Graminées,AC
Crypsis schoenoides,Graminées,C
Alopecurus utriculatus,Graminées,C
Alopecurus pratensis ssp. brachystachys,Graminées,R
Agrostis salmantica,Graminées,C
Agrostis reuteri,Graminées,C
Agrostis semiverticillata,Graminées,C
Agrostis stolonifera ssp. scabriglumis,Graminées,AC
Gastridium scabrum,Graminées,CC
Gastridium ventricosnm,Graminées,AC
Lagurus ovatus,Graminées,CC
Eragrostis cilianensis ssp. major,Graminées,C
Tetrapogon villosus,Graminées,AC
Cynodon dactylon,Graminées,C
Arundo plinii,Graminées,AC
Arundo donax,Graminées,C
Phragmites communis,Graminées,C
Ampelodesma mauritanicum,Graminées,CC
Holcus lanatus,Graminées,C
Corynephorus articulatus ssp. fasciculatus,Graminées,AR
Corynephorus articulatus ssp. eu-articulatus,Graminées,AC
Trisetaria flavescens ssp. pratensis,Graminées,AC
Trisetaria nitida,Graminées,R
Trisetaria pumila ssp. eu-pumila,Graminées,AC
Avena filifolia var. giabra,Graminées,R
Avena pratensis,Graminées,C
Avena clauda,Graminées,AC
Avena pilosa,Graminées,R
Avena alba,Graminées,CC
Avena ventricosa,Graminées,AR
Avena sterilis ssp. macrocarpa,Graminées,CC
Avena sterilis ssp. ludoviciana,Graminées,CC
Arrhenatherum elatius ssp. erianthum,Graminées,AC
Gaudinia fragilis ssp. eu-fragilis,Graminées,AC
Koeleria vallesiana,Graminées,AC
Koeleria splendens ssp. caudata,Graminées,AR
Koeleria phleoides,Graminées,CCC
Avellinia michelii,Graminées,C
Aira cupaniana var. genuina,Graminées,C
Aira cupaniana var. divaricata,Graminées,C
Periballia minuta,Graminées,C
Schismus barbatus ssp. calycinus,Graminées,C
Echinaria capitata,Graminées,C
Melica minuta ssp. eu-minuta,Graminées,C
Melica minuta ssp. major,Graminées,C
Melica ciliata,Graminées,C
Melica cupani,Graminées,AC
Scleropoa rigida,Graminées,CC
Scleropoa hemipoa,Graminées,AC
Cynosurus polybracteatus,Graminées,C
Cynosurus elegans ssp. aurasiacus,Graminées,C
Cynosurus elegans ssp. obliquatus,Graminées,C
Lamarckia aurea,Graminées,CC
Dactylis glomerata,Graminées,C
