scientific-name,family-name,abundance
Adiantum capillus-veneris,Polypodiacées,AC
Marsilea aegyptiaca,Marsileacées,RR
Equisetum ramosissimum,Equisetacées,CC
Cupressus dupreziana,Cupressacées,RR
Potamogeton hoggarensis,Potamogetonacées,R
Imperata cylindrica,Graminées,AC
Cymbopogon schoenunthus ssp. laniger,Graminées,C
Panicum turgidum,Graminées,AC
Pennisetum rogeri,Graminées,RR
Pennisetum dichotomum,Graminées,CC
Pennisetum setaceum ssp. orientale,Graminées,AC
Tragus racemosus,Graminées,AR
Aristida pungens,Graminées,AR
Aristida adscencionis,Graminées,AC
Aristida meccana,Graminées,R
Aristida brevisubulata,Graminées,RR
Aristida pallida,Graminées,R
Aristida hirtigluma var. uzzararum,Graminées,AR
Aristida ciiiata,Graminées,AC
Aristida sahelica,Graminées,AC
Aristida foexiana,Graminées,RR
Aristida acutiflora ssp. eu-acutiflora,Graminées,R
Aristida plumosa ssp. eu-plumosa,Graminées,CC
Sporobolus spicatus,Graminées,RR
Eragrostis cilianensis ssp. poaeoides,Graminées,R 
Eragrostis diplachnoides,Graminées,R 
Eragrostis pilosa,Graminées,AR
Eragrostis barrelieri,Graminées,AC
Desmostachya bipinnata,Graminées,C
Eleusine flagellifera,Graminées,C
Ductyloctenium aegyptium,Graminées,R
Coelachyrum oligobrachiatum,Graminées,RR
Triraphis pumilio,Graminées,R
Enneapogon brachystachyum,Graminées,AC
Enneapogon scaber,Graminées,AR
Enneapogon glumosus,Graminées,RR
Chloris barbata,Graminées,AR
Tetrapogon villosus,Graminées,AC
Koeleria rohlfsii,Graminées,AC
Danthonia forskalii,Graminées,CC
Schismus barbatus ssp. calycinus,Graminées,C
Sphenopus divaricatus,Graminées,AC
Bromus rubens ssp. eu-rubens,Graminées,AC
Bromus garamas,Graminées,R
Bromus hordaceus ssp. mollis,Graminées,C
Bromus squarrosus,Graminées,
Agropyron orientale ssp. distans,Graminées,AC
Cyperus conglomeratus,Cyperacées,R
Cyperus bulbosus,Cyperacées,RR
Heleocharis caribaea,Cyperacées,RR
Fimbristylis ferruginea,Cyperacées,RR
Juncus maritimus,Juncacées,CC
Juncus bufonius ssp. eu-bufonius,Juncacées,AC
Androcymbium gramineum var. saharae,Liliacées,AC
Asphodelus tenuifolius,Liliacées,C
Rumex cyprius ssp. vesceritensis,Polygonacées,R
Rumex cyprius ssp. conjungens,Polygonacées,R
Rumex vesicarius,Polygonacées,RR
Ficus teloukat,Moracées,R
Parietaria alsinifolia,Urticacées,R
Atriplex halimus,Chenopodiacées,C
Beta patellaris,Chenopodiacées,R
Anabasis articulata,Chenopodiacées,C
Bassia muricata,Chenopodiacées,AR
Nucularia perrini,Chenopodiacées,AC
Cornulaca monacantha,Chenopodiacées,AC
Salsola sieberi var. zygophylla,Chenopodiacées,R
Salsola sieberi var. vesceritensis,Chenopodiacées,R
Salsola sieberi var. glomerata,Chenopodiacées,R
Salsola vermiculata,Chenopodiacées,C
Amaranthus angustifolius ssp. polygonoides,Amaranthacées,RR
Amaranthus angustifolius ssp. graecyzans,Amaranthacées,AC
Boerhaavia repens,Nyctaginacées,AC
Gisekia pharnaceoides,Aizoacées,R
Trianthema pentandra,Aizoacées,RR
Glinus lotoides,Aizoacées,RR
Portulaca oleracea ssp. silvestris,Portulacacées,C
Sclerocephalus arabicus,Caryophyllacées,AR
Paronychia arabica ssp. annua,Caryophyllacées,AC
Paronychia capitata ssp. chlorothyrsa,Caryophyllacées,C
Polycarpaea repens,Caryophyllacées,RR
Polycarpaea confusa,Caryophyllacées,R
Spergularia fontenellei,Caryophyllacées,RR
Buffonia tenuifolia,Alsinoidées,AC
Minuartia montana,Alsinoidées,AC
Silene kiliani,Silenoidées,R
Cleome arabica ssp. arabica,Capparidacées,CC
Capparis spinosa,Capparidacées,AC
Maerua crassifolia,Capparidacées,AC
Boscia senegalensis,Capparidacées,RR
Savignya parviflora ssp. aegyptiaca,Crucifères,RR
Farsetia aegyptiaca,Crucifères,C
Farsetia ramosissima,Crucifères,C
Farsetia hamiltoni,Crucifères,AC
Crambe kralikii,Crucifères,R
Coronopus niloticus ssp. iepidioides,Crucifères,AC
Zilla spinosa ssp. costata,Crucifères,CC
Schouwia purpurea ssp. schimperi,Crucifères,AC
Anastatica hierochuntica,Crucifères,R
Lobularia iybica,Crucifères,R
Diplotaxis acris,Crucifères,R
Pseuderucaria clavata ssp. tourneuxii,Crucifères,R
Caylusea hexagyna,Resedacées,C
Oligomeris iinifolia,Resedacées,AR
Reseda alphonsii,Resedacées,R
Reseda pruinosa ssp. tefedestica,Resedacées,RR
Neurada procumbens,Rosacées,C
Crotalaria saharae,Legumineuses,C
Argyrolobium uniflorum,Legumineuses,AC
Argyrolobium abyssinicum var. garamantum,Legumineuses,AC
Rhynchosia memnonia,Legumineuses,R
Alhagi maurorum,Legumineuses,RR
Amphinomia lupinifolia,Legumineuses,C
Lotus glinoides,Legumineuses,AC
Lotus jolyi ssp. battandieri,Legumineuses,C
Psoralea plicata,Legumineuses,AC
Trigonella maritima,Legumineuses,RR
Trigonella anguina,Legumineuses,AC
Trigonella stellata,Legumineuses,C
Trigonella balachowskyi,Legumineuses,R
Tephrosia leptostachya,Legumineuses,AR
Lupinus pilosus ssp. tassilicus,Legumineuses,R
Hippocrepis multisiliquosa ssp. constricta,Legumineuses,AC
Astragalus cruciatus,Legumineuses,C
Astragalus corrugatus var. tenuirugis,Legumineuses,AC
Astragalus eremophilus,Legumineuses,C
Astragalus mareoticus,Legumineuses,RR
Astragalus pseudo-trigonus,Legumineuses,AC
Astragalus akkensis ssp. uzzararum,Legumineuses,R
Acacia laeta,Mimosées,RR
Acacia scorpioides ssp. adstringens,Mimosées,RR
Acacia raddiana,Mimosées,R
Acacia seyal,Mimosées,C
Cassia aschrek,Cesalpiniées,C
Cassia senna,Cesalpiniées,AR
Monsonia nivea,Geraniacées,CC
Monsonia heliotropioides ssp. eu-heliotropioides,Geraniacées,C
Monsonia heliotropioides ssp. garamantum,Geraniacées,R
Erodium bryoniaefolium,Geraniacées,RR
Erodium meynieri,Geraniacées,R
Erodium malachoides ssp. subtrilobum,Geraniacées,RR
Tribulus longipetalus ssp. macropterus,Zygophyllacées,AC
Tribulus ochroleucus,Zygophyllacées,RR
Tribulus bimucronatus,Zygophyllacées,R
Zygophyllum simplex,Zygophyllacées,AC
Fagonia bruguieri,Zygophyllacées,C
Fagonia arabica,Zygophyllacées,AR
Fagonia flamandi,Zygophyllacées,RR
Fagonia latifolia ssp. isotricha,Zygophyllacées,AC
Seetzenia africana,Zygophyllacées,AC
Nitraria schoberi var. faurei,Zygophyllacées,RR
Balanites aegyptiaca,Zygophyllacées,AC
Polygala eriopterum,Polygalacées,R
Euphorbia granulata,Euphorbiacées,C
Euphorbia dracunculoides ssp. flamandi,Euphorbiacées,AC
Euphorbia dracunculoides ssp. inconspicua,Euphorbiacées,AC
Chrozophora brocchiana,Euphorbiacées,AR
Cocculus pendulus,Menispermacées,R
Ziziphus mauritiana,Rhamnacées,R
Ziziphus saharae,Rhamnacées,AC
Abutilon glaucum,Malvacées,R
Abutilon albidum ssp. eu-albidum,Malvacées,R
Abutilon albidum ssp. fruticosum,Malvacées,R
Althaea ludwigii,Malvacées,AC
Hibiscus micranthus,Malvacées,RR
Malva parviflora,Malvacées,CC
Malva rotundifolia,Malvacées,R
Grewia tenax,Tiliacées,RR
Corchorus depressus,Tiliacées,R
Melhania denhami,Sterculiacées,RR
Epilobium hirsutum,Onagracées,RR
Cynomorium coccineum,Cynomoriacées,AC
Pituranthos scoparius,Ombellifères,C
Anethum graveolens,Ombellifères,R
Hypericum psilophyton,Hypericacées,RR
Bergia mairei,Elatinacées,RR
Bergia suffruticosa,Elatinacées,RR
Tamarix aphylla,Tamaricacées,C
Tamarix pauciovulata,Tamaricacées,AC
Tamarix balansae,Tamaricacées,AR
Tamarix gallica ssp. leucocharis,Tamaricacées,AC
Tamarix gallica ssp. nilotica,Tamaricacées,C
Tamarix brachystylis,Tamaricacées,R
HeIianthemum geniorum,Cistacées,R
HeIianthemum eilipticum,Cistacées,AC
HeIianthemum lippii var. sessiliflorum,Cistacées,CCC
Limonium sinuatum ssp. beaumieranum,Plumbaginacées,R
Limonium pruinosum,Plumbaginacées,C
Salvadora persica,Salvadoracées,R
Olea laperrini,Oleacées,R
Centaurium pulchellum ssp. laxiflorum,Gentianacées,AC
Caralluma tombuctuensis,Asclepiadacées,RR
Caralluma venenosa,Asclepiadacées,R
Calotropis procera,Asclepiadacées,C
Glossonema boveanum,Asclepiadacées,R
Glossonema gauthieri,Asclepiadacées,R
Pergularia tomentosa,Asclepiadacées,CC
Leptadenia pyrotechnica,Asclepiadacées,AC
Leptadenia heterophylla,Asclepiadacées,RR
Solenostemma argel,Asclepiadacées,C
Cressa cretica,Convolvulacées,AR
Convolvulus glomeratus,Convolvulacées,RR
Convolvulus sagittatus var. abyssinieus,Convolvulacées,RR
Cordia rothii,Boraginacées,RR
Echium pycnanthum ssp. humile,Boraginacées,C
Trichodesma africanum,Boraginacées,C
Sclerocaryopsis spinocarpos,Boraginacées,C
Heliotropium strigosum,Boraginacées,RR
Heliotropium bacciferum ssp. eu-undulatnm,Boraginacées,CC
Megastoma pusillum,Boraginacées,AC
Arnebia decumbens,Boraginacées,CC
Teucrium polium ssp. helichrysoides,Labiées,R
Teucrium polium ssp. chevalieri,Labiées,RR
Teucrium polium ssp. geyrii,Labiées,R
Teucrium polium ssp. seuratianum,Labiées,R
Salvia chudaei,Labiées,AC
Salvia verbenaca ssp. foetens,Labiées,R
Salvia aegyptiaca,Labiées,C
Lavandula coronopifolia,Labiées,AC
Lavandula pubescens ssp. antinem,Labiées,AC
Marrubium deserti,Labiées,C
Satureja biflora,Labiées,R
Ballota hirsuta,Labiées,AC
Withania somnifera,Solanacées,R
Anticharis glandulosa,Scrofulariacées,RR
Anticharis linearis,Scrofulariacées,RRR
Verbascum atlanticum,Scrofulariacées,R
Verbascum dentifolium,Scrofulariacées,R
Celsia longirostris var. hoggarica,Scrofulariacées,R
Aptosimum pùmilum,Scrofulariacées,RRR
Linaria aegyptiaca ssp. battandieri,Scrofulariacées,C
Linaria aegyptiaca ssp. fruticosa,Scrofulariacées,C
Linaria sagittata,Scrofulariacées,AC
Scrofularia arguta,Scrofulariacées,R
Cistanche phelipaea,Orobanchacées,C
Orobanche aegyptiaca,Orobanchacées,AC
Orobanche cernua,Orobanchacées,AR
Utricularia exoleta,Lentibulariacées,RR
Globularia alypum ssp. arabica,Globulariacées,C
Plantago ciliata,Plantaginacées,CC
Cucurnis prophetarum,Cucurbitacées,RR
