scientific-name,family-name,abundance
Panicum turgidum,Graminées,AC
Pennisetum violaceum var. monodianum,Graminées,RR
Cenchrus biftorus,Graminées,R
Cenchrus ciliaris,Graminées,AR
Cenchrus prieuri,Graminées,R
Aristida pallida,Graminées,R
Aristida papposa,Graminées,R
Aristida ciiiata,Graminées,AC
Aristida plumosa ssp. eu-plumosa,Graminées,CC
Eragrostis diplachnoides,Graminées,R 
Eragrostis pilosa,Graminées,AR
Desmostachya bipinnata,Graminées,C
Triraphis pumilio,Graminées,R
Chloris barbata,Graminées,AR
Koeleria rohlfsii,Graminées,AC
Danthonia forskalii,Graminées,CC
Portulaca oleracea ssp. silvestris,Portulacacées,C
Cleome brachycarpa,Capparidacées,RR
Boscia senegalensis,Capparidacées,RR
Farsetia aegyptiaca,Crucifères,C
Schouwia purpurea ssp. schimperi,Crucifères,AC
Oligomeris iinifolia,Resedacées,AR
Tephrosia leptostachya,Legumineuses,AR
Tribulus longipetalus ssp. alatus,Zygophyllacées,AC
Fagonia arabica,Zygophyllacées,AR
Haplophyllum tuberculatum,Rutacées,AR
Gymnosporia sellegalensis var. angustifolia,Celastracées,R
Ziziphus saharae,Rhamnacées,AC
Grewia tenax,Tiliacées,RR
Corchorus depressus,Tiliacées,R
Tamarix gallica ssp. nilotica,Tamaricacées,C
Salvadora persica,Salvadoracées,R
Calotropis procera,Asclepiadacées,C
Glossonema boveanum,Asclepiadacées,R
Pergularia tomentosa,Asclepiadacées,CC
Leptadenia pyrotechnica,Asclepiadacées,AC
Solenostemma argel,Asclepiadacées,C
Arnebia decumbens,Boraginacées,CC
Bouchea marrubiifolia,Verbenacées,AC
Colocynthis vulgaris,Cucurbitacées,CC
Ifloga spicata,Synantheracées,CC
Pegolettia senegalensis,Synantheracées,RR
Pulicaria voiskonskyana,Synantheracées,AR
Asteriscus graveolens,Synantheracées,CCC
AtractyIis prolifera,Synantheracées,C
Volutaria crupinoides,Synantheracées,AC
