scientific-name,family-name,abundance
Equisetum ramosissimum,Equisetacées,CC
Typha elephantina ssp. maresii,Typhacées,AC
Cymbopogon schoenunthus ssp. laniger,Graminées,C
Cymbopogon schoenunthus ssp. proximus,Graminées,RR
Digitaria commutata ssp. nodosa,Graminées,RR
Panicum turgidum,Graminées,AC
Tricholaena teneriffae,Graminées,AR
Pennisetum dichotomum,Graminées,CC
Cenchrus ciliaris,Graminées,AR
Aristida pungens,Graminées,AR
Aristida adscencionis,Graminées,AC
Aristida meccana,Graminées,R
Aristida brevisubulata,Graminées,RR
Aristida ciiiata,Graminées,AC
Aristida foexiana,Graminées,RR
Aristida plumosa ssp. eu-plumosa,Graminées,CC
Eragrostis pilosa,Graminées,AR
Desmostachya bipinnata,Graminées,C
Triraphis pumilio,Graminées,R
Chloris barbata,Graminées,AR
Danthonia forskalii,Graminées,CC
Bromus rubens ssp. eu-rubens,Graminées,AC
Brachypodium distachyum,Graminées,CC
Juncus maritimus,Juncacées,CC
Juncus bufonius ssp. eu-bufonius,Juncacées,AC
Androcymbium gramineum var. saharae,Liliacées,AC
Asphodelus tenuifolius,Liliacées,C
Urginea noctiftora ssp. heliophylla,Liliacées,AC
Urginea fugax,Liliacées,C
Battandiera amaena,Liliacées,AC
Calligonum comosum,Polygonacées,C
Calligonum azel,Polygonacées,AC
Emex spinosa,Polygonacées,RR
Rumex cyprius ssp. subintegra,Polygonacées,R
Rumex vesicarius,Polygonacées,RR
Atriplex halimus,Chenopodiacées,C
Beta patellaris,Chenopodiacées,R
Anabasis articulata,Chenopodiacées,C
Bassia muricata,Chenopodiacées,AR
Traganum nudatum,Chenopodiacées,C
Suaeda mollis,Chenopodiacées,C
Suaeda monodiana,Chenopodiacées,AC
Salsola tetragona,Chenopodiacées,AC
Salsola sieberi var. zygophylla,Chenopodiacées,R
Salsola sieberi var. vesceritensis,Chenopodiacées,R
Salsola sieberi var. glomerata,Chenopodiacées,R
Salsola vermiculata,Chenopodiacées,C
Mollugo cerviana,Aizoacées,AR
Mesembryanthemum theurkaufii,Aizoacées,R
Portulaca oleracea ssp. silvestris,Portulacacées,C
Sclerocephalus arabicus,Caryophyllacées,AR
Illecebrum verticillatum,Caryophyllacées,RR
Gymnocarpos decander,Caryophyllacées,AC
Paronychia arabica ssp. annua,Caryophyllacées,AC
Polycarpaea repens,Caryophyllacées,RR
Buffonia tenuifolia,Alsinoidées,AC
Minuartia montana,Alsinoidées,AC
Adonis dentata,Renonculacées,C
Cleome arabica ssp. arabica,Capparidacées,CC
Capparis spinosa,Capparidacées,AC
Maerua crassifolia,Capparidacées,AC
Savignya parviflora ssp. longistyla,Crucifères,C
Oudneya africana,Crucifères,AR
